topRoute,category,subCategory,title,name,link,cover,firstLine,secondLine,footer,comment,flag
微信读书,微信读书,2025（18h50m）,房思琪的初恋乐园,房思琪的初恋乐园,https://search.douban.com/book/subject_search?search_text=房思琪的初恋乐园,/resources/images/books/2025-4.jpg,首次读完：25/03,阅读时长：9h16m,原来，人对他者的痛苦是毫无想象力的,通过少女被侵害的悲剧，直指社会对受害者痛苦的集体冷漠，批判集体沉默与道德伪善对个体的吞噬,
微信读书,微信读书,2025（18h50m）,1984,1984,https://search.douban.com/book/subject_search?search_text=1984,/resources/images/books/2025-3.jpg,首次读完：25/02,阅读时长：8h59m,战争即和平，自由即奴役，无知即力量,奥威尔通过极权社会的口号，揭露权力对语言与思想的操控,
微信读书,微信读书,2025（18h50m）,平面国,平面国,https://search.douban.com/book/subject_search?search_text=平面国,/resources/images/books/2025-2.jpg,首次读完：25/01,阅读时长：2h58m,向上，而不是向北,讽刺维多利亚社会的阶级固化，隐喻维度突破对认知的颠覆性意义,
微信读书,微信读书,2025（18h50m）,悉达多,悉达多,https://search.douban.com/book/subject_search?search_text=悉达多,/resources/images/books/2025-1.jpg,首次读完：25/01,阅读时长：3h9m,知识可以传授，但智慧不能,黑塞借悉达多的求道之旅，强调人生智慧需亲身经历与顿悟,
微信读书,微信读书,2024（201h30m）,心经,心经,https://search.douban.com/book/subject_search?search_text=心经,/resources/images/books/2024-9.jpg,首次读完：24/12,阅读时长：0h36m,色不异空，空不异色；色即是空，空即是色,佛教核心教义，揭示物质与虚无的本质统一，引导超脱执念的智慧,
微信读书,微信读书,2024（201h30m）,围城,围城,https://search.douban.com/book/subject_search?search_text=围城,/resources/images/books/2024-8.jpg,首次读完：24/12,阅读时长：15h37m,婚姻是一座围城，城外的人想进去，城里的人想出来,讽刺知识分子的精神困境，隐喻人生处处是围城,
微信读书,微信读书,2024（201h30m）,活着,活着,https://search.douban.com/book/subject_search?search_text=活着,/resources/images/books/2024-7.jpg,首次读完：24/11,阅读时长：5h9m,人是为了活着本身而活着，而不是为了活着之外的任何事物,福贵的一生诠释苦难中的坚韧，揭示生命最本质的意义,
微信读书,微信读书,2024（201h30m）,爱的艺术,爱的艺术,https://search.douban.com/book/subject_search?search_text=爱的艺术,/resources/images/books/2024-6.jpg,首次读完：24/11,阅读时长：3h3m,爱不是一种感觉，而是一种行动，是给予、关心、责任与尊重的实践,弗洛姆颠覆传统爱的定义，强调爱需通过持续努力与人格成长来实现,
微信读书,微信读书,2024（201h30m）,周恩来最后600天,周恩来最后600天,https://search.douban.com/book/subject_search?search_text=周恩来最后600天,/resources/images/books/2024-5.jpg,首次读完：24/10,阅读时长：9h7m,鞠躬尽瘁，死而后已；但存一念，为民为国,凝练周恩来晚年的政治坚守与精神遗产，体现其无私的公仆精神,
微信读书,微信读书,2024（201h30m）,我与地坛,我与地坛,https://search.douban.com/book/subject_search?search_text=我与地坛,/resources/images/books/2024-4.jpg,首次读完：24/10,阅读时长：11h6m,死是一件不必急于求成的事，死是一个必然会降临的节日,史铁生以地坛为精神寄托，直面生死，传递豁达的生命观,
微信读书,微信读书,2024（201h30m）,一句顶一万句,一句顶一万句,https://search.douban.com/book/subject_search?search_text=一句顶一万句,/resources/images/books/2024-3.jpg,首次读完：24/09,阅读时长：11h24m,世上的人遍地都是，说得着的人千里难寻,通过市井小人物的孤独，揭示言语的无力与人际关系的本质隔阂,
微信读书,微信读书,2024（201h30m）,置身事内：中国政府与经济发展,置身事内：中国政府与经济发展,https://search.douban.com/book/subject_search?search_text=置身事内：中国政府与经济发展,/resources/images/books/2024-2.jpg,首次读完：24/08,阅读时长：8h0m,政府与市场，不是谁取代谁的问题，而是如何更好合作的问题,剖析中国经济发展模式，强调政府与市场动态平衡的重要性,
微信读书,微信读书,2024（201h30m）,乾隆皇帝,乾隆皇帝,https://search.douban.com/book/subject_search?search_text=乾隆皇帝,/resources/images/books/2024-1.jpg,首次读完：24/03,阅读时长：79h8m,十全武功，不过是给后人看的戏；盛世之下，皆是焦土,批判乾隆朝表面辉煌下的统治危机，暗喻盛世虚荣与民生疾苦的割裂,
